,location,total_sqft,bath,price,bhk
2165,Electronic City,1615.0,3.0,97.0,3
2167,Electronic City,1221.0,2.0,68.0,2
2169,Electronic City,1500.0,3.0,73.0,3
2170,Electronic City,995.0,2.0,48.0,2
2171,Electronic City,1342.0,2.0,90.0,2
2173,Electronic City,1128.0,2.0,63.5,2
2174,Electronic City,589.0,1.0,29.0,1
2177,Electronic City,1575.0,3.0,94.5,3
2178,Electronic City,1070.0,2.0,48.0,2
2179,Electronic City,1025.0,2.0,54.0,2
2180,Electronic City,1500.0,2.0,70.0,3
2183,Electronic City,2093.0,4.0,134.0,4
2185,Electronic City,1355.0,2.0,73.0,2
2186,Electronic City,1360.0,2.0,64.99,3
2187,Electronic City,1060.0,2.0,52.0,2
2188,Electronic City Phase II,1056.0,2.0,39.07,2
2190,Electronic City Phase II,1069.0,2.0,45.0,2
2191,Electronic City Phase II,630.0,1.0,28.35,1
2195,Electronic City Phase II,2225.0,4.0,98.88,4
2197,Electronic City Phase II,775.0,2.0,38.0,2
2198,Electronic City Phase II,1266.0,2.0,59.0,2
2202,Electronic City Phase II,972.0,2.0,44.0,2
2204,Electronic City Phase II,1031.0,2.0,55.0,2
2205,Electronic City Phase II,1003.0,2.0,40.6,2
2206,Electronic City Phase II,1031.0,2.0,56.35,2
2208,Electronic City Phase II,1395.0,2.0,62.78,3
2211,Electronic City Phase II,1219.0,2.0,61.25,2
2214,Electronic City Phase II,1790.0,3.0,100.0,3
2215,Electronic City Phase II,769.0,2.0,40.0,2
2217,Electronic City Phase II,900.0,2.0,32.5,2
2220,Electronic City Phase II,993.0,2.0,50.0,3
2221,Electronic City Phase II,1418.0,3.0,52.47,3
2222,Electronic City Phase II,1070.0,2.0,45.0,2
2227,Electronic City Phase II,1031.0,2.0,55.0,2
2228,Electronic City Phase II,1253.0,2.0,65.8,2
2231,Electronic City Phase II,975.0,2.0,45.0,3
2232,Electronic City Phase II,6000.0,4.0,260.0,4
2239,Electronic City Phase II,3550.0,2.0,167.5,4
2240,Electronic City Phase II,1031.0,2.0,53.0,2
2244,Electronic City Phase II,1549.0,3.0,80.0,3
2245,Electronic City Phase II,1065.0,2.0,56.13,2
2249,Electronic City Phase II,1219.0,2.0,61.26,2
2250,Electronic City Phase II,1252.0,2.0,65.0,3
2253,Electronic City Phase II,1286.0,2.0,69.0,2
2256,Electronic City Phase II,1116.0,2.0,40.0,2
2257,Electronic City Phase II,1150.0,3.0,46.0,3
2258,Electronic City Phase II,1192.0,2.0,47.0,3
2261,Electronic City Phase II,1900.0,3.0,97.0,4
2270,Electronic City Phase II,1160.0,2.0,52.2,2
2271,Electronic City Phase II,1244.0,2.0,55.0,2
2275,Electronic City Phase II,972.0,2.0,40.0,2
2280,Electronic City Phase II,650.0,1.0,35.0,1
2281,Electronic City Phase II,1155.0,2.0,57.0,2
2282,Electronic City Phase II,1800.0,3.0,92.0,3
2287,Electronic City Phase II,2187.5,4.0,105.0,4
2288,Electronic City Phase II,1252.0,2.0,67.0,2
2294,Electronic City Phase II,1252.0,2.0,65.0,3
2295,Electronic City Phase II,1135.0,2.0,46.0,2
2296,Electronic City Phase II,1305.0,3.0,65.0,3
2299,Electronic City Phase II,1336.0,2.0,50.35,3
2300,Electronic City Phase II,575.0,1.0,16.75,1
2301,Electronic City Phase II,925.0,2.0,49.82,3
2307,Electronic City Phase II,1031.0,2.0,54.48,2
2311,Electronics City Phase 1,1475.0,3.0,78.29,3
2312,Electronics City Phase 1,1490.0,3.0,78.8,3
2314,Electronics City Phase 1,1490.0,3.0,84.0,3
2321,Electronics City Phase 1,1015.0,2.0,56.0,2
2323,Electronics City Phase 1,1515.0,2.0,80.91,3
2325,Electronics City Phase 1,1555.0,2.0,82.0,3
2326,Electronics City Phase 1,1340.0,2.0,75.0,2
2327,Electronics City Phase 1,1124.0,2.0,55.0,3
2328,Electronics City Phase 1,1175.0,2.0,57.0,2
2329,Electronics City Phase 1,755.0,1.0,42.41,1
2330,Electronics City Phase 1,580.0,1.0,27.0,1
2331,Electronics City Phase 1,940.0,2.0,49.0,2
2332,Electronics City Phase 1,1335.0,2.0,67.0,2
2333,Electronics City Phase 1,1113.12,2.0,55.0,2
2335,Electronics City Phase 1,1350.0,3.0,71.0,3
2337,Electronics City Phase 1,995.0,2.0,49.8,2
2339,Electronics City Phase 1,1190.0,2.0,68.0,2
2341,Electronics City Phase 1,1450.0,3.0,72.54,3
2342,Electronics City Phase 1,360.0,1.0,16.9,1
2343,Electronics City Phase 1,638.0,1.0,32.0,1
2344,Electronics City Phase 1,1175.0,2.0,64.98,2
2346,Electronics City Phase 1,1200.0,2.0,59.76,2
2348,Electronics City Phase 1,1125.0,2.0,65.0,2
2350,Electronics City Phase 1,1550.0,2.0,82.0,3
2356,Electronics City Phase 1,1800.0,3.0,93.0,3
2358,Electronics City Phase 1,1170.0,2.0,62.0,2
2359,Electronics City Phase 1,1450.0,3.0,79.0,3
2360,Electronics City Phase 1,940.0,2.0,48.0,2
2362,Electronics City Phase 1,1300.0,2.0,67.0,2
2363,Electronics City Phase 1,1028.0,2.0,51.0,2
2365,Electronics City Phase 1,1205.0,2.0,60.0,2
2367,Electronics City Phase 1,1305.0,2.0,67.0,2
2369,Electronics City Phase 1,1175.0,2.0,60.0,2
2370,Frazer Town,1700.0,3.0,180.0,3
2372,Frazer Town,1870.0,3.0,185.0,3
2375,Frazer Town,2000.0,3.0,200.0,3
2377,Frazer Town,2350.0,4.0,285.0,3
2378,Frazer Town,1550.0,2.0,140.0,2
2380,Frazer Town,2560.0,3.0,265.0,3
2381,Frazer Town,2400.0,3.0,260.0,3
2382,Frazer Town,2560.0,3.0,288.0,3
2383,Frazer Town,3436.0,5.0,341.0,4
2385,Frazer Town,1315.0,2.0,140.0,2
2387,Frazer Town,2079.0,3.0,220.0,3
2388,Frazer Town,3435.0,2.0,341.0,4
2389,Frazer Town,3436.0,5.0,345.0,4
2390,Frazer Town,3100.0,3.0,400.0,3
2392,Frazer Town,1180.0,2.0,105.0,2
2393,Frazer Town,2900.0,4.0,325.0,4
2395,Frazer Town,896.0,1.0,100.0,1
2396,Frazer Town,1420.0,2.0,120.0,2
2397,GM Palaya,1820.0,2.0,86.0,3
2398,GM Palaya,1225.0,2.0,47.0,2
2399,GM Palaya,1140.0,2.0,48.95,2
2400,GM Palaya,1315.0,2.0,65.0,3
2401,GM Palaya,1315.0,3.0,65.0,3
2402,GM Palaya,1315.0,3.0,64.0,3
2405,Garudachar Palya,1325.0,2.0,60.8,3
2406,Garudachar Palya,1060.0,2.0,48.7,2
2407,Garudachar Palya,1150.0,2.0,52.75,2
2408,Garudachar Palya,1295.0,2.0,59.5,3
2409,Garudachar Palya,1320.0,2.0,60.6,3
2410,Garudachar Palya,1295.0,2.0,59.5,3
2411,Garudachar Palya,1150.0,2.0,52.8,2
2412,Garudachar Palya,1150.0,2.0,52.8,2
2413,Garudachar Palya,1060.0,2.0,48.5,2
2415,Garudachar Palya,1325.0,2.0,60.8,3
2416,Garudachar Palya,1060.0,2.0,48.66,2
2420,Giri Nagar,2400.0,4.0,400.0,4
2421,Giri Nagar,1800.0,3.0,252.0,3
2422,Giri Nagar,1350.0,3.0,240.0,3
2423,Giri Nagar,2400.0,4.0,400.0,4
2424,Giri Nagar,3000.0,4.0,375.0,6
2425,Giri Nagar,2400.0,6.0,400.0,6
2426,Giri Nagar,4000.0,3.0,750.0,4
2427,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2428,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2429,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2430,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2431,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2432,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2433,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2434,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2435,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2436,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2438,Gottigere,967.0,2.0,45.0,2
2439,Gottigere,1618.0,3.0,82.5,3
2440,Gottigere,1222.0,2.0,63.0,2
2442,Gottigere,1300.0,3.0,65.0,3
2444,Gottigere,1153.0,2.0,48.5,2
2445,Gottigere,812.0,1.0,26.0,1
2446,Gottigere,2000.0,4.0,82.0,4
2447,Gottigere,1460.0,2.0,65.0,3
2448,Gottigere,1500.0,3.0,70.0,3
2449,Gottigere,1621.0,3.0,72.0,3
2450,Gottigere,812.0,1.0,26.0,1
2452,Gottigere,1235.0,2.0,63.0,2
2453,Gottigere,1385.0,3.0,64.0,3
2458,Gottigere,1435.0,2.0,62.0,3
2459,Gottigere,945.0,2.0,45.0,2
2461,Gottigere,2500.0,3.0,120.0,4
2463,Gottigere,1120.0,2.0,50.0,2
2466,Gottigere,1280.0,2.0,61.0,2
2467,Gottigere,1205.0,2.0,56.58,2
2469,Gottigere,3000.0,3.0,132.0,4
2470,Gottigere,1613.0,3.0,72.0,3
2472,Gottigere,1245.0,2.0,59.0,2
2474,Green Glen Layout,1670.0,3.0,120.0,3
2475,Green Glen Layout,3250.0,4.0,230.0,4
2477,Green Glen Layout,3250.0,4.0,230.0,4
2478,Green Glen Layout,940.0,2.0,56.8,2
2479,Green Glen Layout,1075.0,2.0,60.0,2
2480,Green Glen Layout,1715.0,3.0,115.0,3
2482,Green Glen Layout,1750.0,3.0,130.0,3
2483,Green Glen Layout,1530.0,3.0,105.0,3
2486,Green Glen Layout,1728.0,3.0,125.0,3
2487,Green Glen Layout,1645.0,3.0,110.0,3
2489,Green Glen Layout,3150.0,4.0,218.0,4
2490,Green Glen Layout,3270.0,4.0,205.0,4
2491,Green Glen Layout,1750.0,3.0,120.0,3
2494,Green Glen Layout,1885.0,3.0,135.0,3
2495,Green Glen Layout,1715.0,3.0,120.0,3
2497,Green Glen Layout,1715.0,3.0,115.0,3
2500,Green Glen Layout,1717.0,3.0,125.0,3
2501,Green Glen Layout,1250.0,2.0,75.0,2
2504,Gubbalala,1745.0,3.0,104.0,3
2505,Gubbalala,1745.0,3.0,115.0,3
2506,Gubbalala,1745.0,3.0,110.0,3
2508,Gubbalala,2570.0,4.0,141.0,5
2509,Gubbalala,1205.0,2.0,70.0,2
2511,Gubbalala,1475.0,2.0,80.0,2
2512,Gubbalala,2000.0,4.0,85.0,4
2513,Gubbalala,1100.0,2.0,49.5,2
2514,Gubbalala,1060.0,2.0,46.0,2
2515,Gubbalala,2000.0,3.0,125.0,3
2516,Gubbalala,4000.0,5.0,195.0,4
2518,Gunjur,1356.0,2.0,66.0,3
2519,Gunjur,1600.0,3.0,75.0,3
2520,Gunjur,2000.0,3.0,95.0,4
2521,Gunjur,1140.0,2.0,49.11,2
2524,Gunjur,1457.0,2.0,60.0,2
2529,Gunjur,1362.0,3.0,62.63,3
2530,Gunjur,1071.0,2.0,51.0,2
2532,Gunjur,1235.0,2.0,52.76,2
2533,Gunjur,1362.0,3.0,62.63,3
2534,Gunjur,1362.0,3.0,62.63,3
2535,Gunjur,1588.0,2.0,90.0,3
2537,Gunjur,1457.0,2.0,60.0,2
2538,HAL 2nd Stage,1490.0,2.0,300.0,3
2539,HAL 2nd Stage,600.0,3.0,145.0,2
2540,HAL 2nd Stage,2700.0,3.0,500.0,3
2541,HAL 2nd Stage,2040.0,4.0,500.0,5
2542,HBR Layout,2800.0,2.0,200.0,3
2544,HBR Layout,1200.0,4.0,120.0,4
2545,HBR Layout,1200.0,2.0,60.0,2
2546,HBR Layout,1004.0,2.0,49.0,2
2547,HBR Layout,1783.0,3.0,125.0,3
2549,HBR Layout,1089.0,2.0,60.0,2
2551,HBR Layout,1198.0,2.0,65.0,2
2552,HBR Layout,1200.0,4.0,115.0,4
2553,HBR Layout,1200.0,2.0,120.0,2
2554,HBR Layout,1832.0,3.0,160.0,3
2555,HRBR Layout,1374.0,2.0,95.0,2
2557,HRBR Layout,1567.0,3.0,90.0,3
2558,HRBR Layout,2800.0,3.0,250.0,3
2562,HRBR Layout,1335.0,2.0,87.0,3
2563,HRBR Layout,1900.0,3.0,90.0,4
2564,HRBR Layout,1625.0,3.0,120.0,3
2565,HRBR Layout,1301.0,2.0,120.0,2
2567,HRBR Layout,1300.0,2.0,90.0,2
2569,HSR Layout,1372.0,2.0,68.0,2
2571,HSR Layout,1475.0,3.0,75.0,3
2575,HSR Layout,1750.0,3.0,95.0,3
2578,HSR Layout,1650.0,3.0,110.0,3
2582,HSR Layout,1185.0,2.0,60.0,2
2583,HSR Layout,1127.0,2.0,68.0,2
2584,HSR Layout,1600.0,2.0,115.0,3
2586,HSR Layout,1009.0,2.0,56.0,2
2587,HSR Layout,1300.0,2.0,98.0,2
2590,HSR Layout,1126.0,2.0,69.0,2
2594,HSR Layout,1142.0,2.0,65.0,2
2596,HSR Layout,1844.0,3.0,95.0,3
2597,HSR Layout,1203.0,2.0,72.0,2
2599,HSR Layout,4200.0,5.0,245.0,5
2602,HSR Layout,1009.0,2.0,56.0,2
2605,HSR Layout,1203.0,2.0,60.0,2
2606,HSR Layout,1120.0,2.0,70.0,2
2608,HSR Layout,1289.0,2.0,70.0,2
2610,HSR Layout,1203.0,2.0,60.0,2
2612,Haralur Road,1240.0,2.0,70.0,2
2618,Haralur Road,1056.0,2.0,61.0,2
2620,Haralur Road,1810.0,3.0,100.0,3
2623,Haralur Road,1225.0,2.0,67.38,2
2626,Haralur Road,1920.0,3.0,115.0,3
2627,Haralur Road,1875.0,3.0,110.0,3
2632,Haralur Road,2017.0,3.0,125.0,3
2634,Haralur Road,1875.0,3.0,110.0,3
2637,Haralur Road,1300.0,2.0,73.0,2
2640,Haralur Road,1850.0,3.0,110.0,3
2641,Haralur Road,1225.0,2.0,67.38,2
2643,Haralur Road,3400.0,5.0,240.0,4
2645,Haralur Road,1230.0,2.0,78.0,2
2648,Haralur Road,1300.0,2.0,79.0,2
2649,Haralur Road,1444.0,2.0,80.0,3
2650,Haralur Road,1088.0,2.0,68.0,2
2653,Haralur Road,1225.0,2.0,70.0,2
2656,Haralur Road,1830.0,3.0,101.0,3
2657,Haralur Road,1810.0,3.0,126.0,3
2659,Haralur Road,1520.0,2.0,96.0,3
2660,Haralur Road,1300.0,2.0,75.0,2
2661,Haralur Road,2017.0,2.0,125.0,3
2670,Haralur Road,1520.0,2.0,90.0,3
2671,Haralur Road,1300.0,2.0,60.0,2
2672,Haralur Road,1985.0,3.0,130.0,3
2673,Haralur Road,1255.0,2.0,90.0,3
2674,Haralur Road,1056.0,2.0,60.0,2
2676,Haralur Road,1245.0,2.0,62.0,2
2677,Haralur Road,1140.0,2.0,58.0,2
2682,Haralur Road,1560.0,3.0,90.0,3
2683,Haralur Road,1520.0,2.0,85.0,3
2687,Haralur Road,1650.0,3.0,100.0,3
2692,Haralur Road,1520.0,2.0,96.0,3
2694,Haralur Road,1056.0,2.0,65.0,2
2695,Haralur Road,1810.0,3.0,100.0,3
2697,Haralur Road,575.0,1.0,38.0,1
2702,Haralur Road,1850.0,3.0,120.0,3
2712,Haralur Road,1817.0,3.0,110.0,3
2713,Haralur Road,1225.0,2.0,77.0,2
2714,Haralur Road,1285.0,2.0,78.0,2
2715,Haralur Road,1225.0,2.0,67.48,2
2716,Haralur Road,1225.0,2.0,69.84,2
2718,Haralur Road,1315.0,2.0,85.0,2
2720,Haralur Road,1300.0,2.0,75.0,2
2721,Haralur Road,1309.0,2.0,82.0,2
2726,Haralur Road,1300.0,2.0,75.0,2
2729,Haralur Road,1230.0,2.0,67.65,2
2733,Haralur Road,1255.0,3.0,90.0,3
2734,Haralur Road,1735.0,3.0,97.0,3
2738,Haralur Road,1810.0,3.0,112.0,3
2740,Harlur,1752.12,3.0,135.0,3
2743,Harlur,1709.0,3.0,150.0,3
2746,Harlur,1197.0,2.0,84.0,2
2747,Harlur,1757.0,3.0,132.0,3
2748,Harlur,1174.0,2.0,76.0,2
2749,Harlur,1754.0,3.0,125.0,3
2750,Harlur,1290.0,2.0,85.0,2
2752,Harlur,1754.0,3.0,135.0,3
2753,Harlur,1754.0,3.0,124.0,3
2755,Harlur,1290.0,2.0,87.0,2
2757,Harlur,3385.0,4.0,260.0,4
2758,Harlur,2240.0,5.0,155.0,3
2759,Harlur,1758.0,3.0,133.0,3
2761,Harlur,1197.0,2.0,79.0,2
2762,Harlur,1174.0,2.0,78.0,2
2766,Harlur,1197.0,2.0,79.0,2
2768,Harlur,1174.0,2.0,75.0,2
2769,Harlur,1750.0,3.0,136.0,3
2770,Harlur,1620.0,3.0,110.0,3
2773,Harlur,1762.0,3.0,133.0,3
2774,Harlur,1756.0,3.0,131.0,3
2775,Harlur,1755.0,3.0,130.0,3
2776,Harlur,1864.0,3.0,140.0,3
2777,Harlur,1331.0,2.0,88.0,2
2778,Harlur,1752.12,3.0,133.0,3
2780,Harlur,1756.0,3.0,128.0,3
2781,Harlur,1749.0,3.0,120.0,3
2782,Harlur,1197.0,2.0,82.0,2
2783,Harlur,1303.0,2.0,90.0,2
2784,Harlur,1754.0,3.0,132.0,3
2785,Harlur,1174.0,2.0,75.0,2
2786,Harlur,1756.0,3.0,134.0,3
2787,Harlur,1197.0,2.0,78.0,2
2788,Harlur,1290.0,2.0,89.9,2
2790,Harlur,1174.0,2.0,74.0,2
2791,Harlur,1174.0,2.0,78.0,2
2795,Harlur,2569.0,4.0,175.0,4
2797,Harlur,1197.0,2.0,77.0,2
2798,Harlur,1752.12,3.0,125.0,3
2799,Harlur,2569.0,5.0,180.0,4
2801,Harlur,1197.0,2.0,76.0,2
2803,Harlur,1197.0,2.0,75.0,2
2805,Harlur,1197.0,2.0,79.9,2
2807,Harlur,2990.0,4.0,225.0,4
2808,Harlur,1370.0,2.0,88.0,2
2811,Hebbal,5611.5,4.0,477.0,4
2813,Hebbal,1349.0,2.0,98.2,2
2814,Hebbal,2483.0,5.0,212.0,4
2815,Hebbal,1760.0,2.0,130.0,3
2816,Hebbal,3450.0,5.0,260.0,3
2819,Hebbal,1349.0,2.0,98.0,2
2825,Hebbal,1985.0,4.0,189.0,3
2826,Hebbal,2483.0,5.0,215.0,4
2828,Hebbal,812.0,2.0,55.0,2
2831,Hebbal,2526.0,2.0,250.0,3
2835,Hebbal,1420.0,2.0,123.0,2
2837,Hebbal,1420.0,2.0,99.39,2
2838,Hebbal,4235.0,4.0,365.0,4
2839,Hebbal,1700.0,3.0,124.0,3
2840,Hebbal,3960.0,5.0,386.0,4
2841,Hebbal,1420.0,2.0,99.39,2
2843,Hebbal,1440.0,2.0,115.0,2
2846,Hebbal,2400.0,4.0,180.0,3
2848,Hebbal,1420.0,2.0,107.0,2
2849,Hebbal,1320.0,2.0,92.0,2
2851,Hebbal,1645.0,3.0,135.0,3
2852,Hebbal,2080.0,3.0,175.0,3
2854,Hebbal,2483.0,5.0,230.0,4
2855,Hebbal,2600.0,3.0,195.0,3
2856,Hebbal,1645.0,3.0,117.0,3
2857,Hebbal,1251.0,2.0,88.73,2
2858,Hebbal,1645.0,3.0,121.0,3
2861,Hebbal,3960.0,5.0,386.0,4
2862,Hebbal,1645.0,3.0,120.0,3
2863,Hebbal,1255.0,2.0,90.0,3
2864,Hebbal,1645.0,3.0,117.0,3
2867,Hebbal,1636.0,3.0,119.0,3
2868,Hebbal,2661.0,2.0,226.5,3
2869,Hebbal,1255.0,2.0,95.0,3
2872,Hebbal,1255.0,2.0,95.0,3
2874,Hebbal,1349.0,2.0,97.8,2
2876,Hebbal,1344.0,2.0,108.0,2
2877,Hebbal,1255.0,2.0,90.0,3
2879,Hebbal,1138.0,2.0,110.0,2
2882,Hebbal,1987.0,4.0,165.0,3
2884,Hebbal,1299.0,2.0,100.0,2
2886,Hebbal,1645.0,3.0,117.0,3
2887,Hebbal,1390.0,2.0,95.0,2
2888,Hebbal,1333.0,2.0,100.0,2
2890,Hebbal,2650.0,4.0,199.0,3
2891,Hebbal,1800.0,3.0,140.0,3
2893,Hebbal,2470.0,4.0,203.0,4
2894,Hebbal,1255.0,2.0,95.0,3
2895,Hebbal,1333.0,2.0,104.0,2
2896,Hebbal,1645.0,3.0,117.0,3
2897,Hebbal,2600.0,3.0,199.0,3
2898,Hebbal,1345.0,2.0,97.0,2
2901,Hebbal,1320.0,2.0,91.0,2
2902,Hebbal,2388.0,3.0,195.0,3
2905,Hebbal,2600.0,3.0,195.0,3
2910,Hebbal,1420.0,2.0,99.39,2
2912,Hebbal,3520.0,5.0,320.0,3
2915,Hebbal,4235.0,5.0,364.0,4
2916,Hebbal,1299.0,2.0,97.0,2
2919,Hebbal,1645.0,3.0,117.0,3
2922,Hebbal,1920.0,3.0,150.0,3
2924,Hebbal,1420.0,2.0,99.26,2
2925,Hebbal,1252.0,2.0,92.0,2
2928,Hebbal,1294.0,2.0,115.0,2
2929,Hebbal,4225.0,6.0,359.0,4
2931,Hebbal,1740.0,2.0,137.0,3
2933,Hebbal,1662.0,3.0,155.0,3
2934,Hebbal,2250.0,3.0,219.0,3
2935,Hebbal,1349.0,2.0,98.0,2
2936,Hebbal,4000.0,6.0,370.0,4
2937,Hebbal,1349.0,2.0,96.8,2
2939,Hebbal Kempapura,1800.0,3.0,175.0,3
2940,Hebbal Kempapura,2900.0,4.0,300.0,3
2941,Hebbal Kempapura,3522.0,3.0,380.0,3
2942,Hebbal Kempapura,2280.0,5.0,200.0,5
2943,Hebbal Kempapura,1200.0,2.0,125.0,2
2945,Hebbal Kempapura,3900.0,5.0,360.0,4
2946,Hebbal Kempapura,1300.0,2.0,102.0,2
2947,Hebbal Kempapura,1466.0,2.0,140.0,3
2948,Hebbal Kempapura,3900.0,5.0,310.0,4
2949,Hebbal Kempapura,1725.0,2.0,165.0,3
2950,Hebbal Kempapura,1200.0,3.0,125.0,3
2952,Hebbal Kempapura,1485.0,3.0,132.0,2
2953,Hebbal Kempapura,1400.0,2.0,108.0,2
2955,Hebbal Kempapura,2400.0,5.0,200.0,5
2956,Hebbal Kempapura,2800.0,5.0,220.0,5
2958,Hebbal Kempapura,3729.0,4.0,384.0,4
2959,Hebbal Kempapura,1600.0,3.0,170.0,3
2960,Hebbal Kempapura,1730.0,3.0,175.0,3
2961,Hebbal Kempapura,2485.0,4.0,198.0,4
2963,Hegde Nagar,3000.0,7.0,210.0,6
2966,Hegde Nagar,1050.0,1.0,56.0,2
2967,Hegde Nagar,1341.0,2.0,97.0,2
2968,Hegde Nagar,2112.95,4.0,145.0,3
2969,Hegde Nagar,1200.0,4.0,83.0,4
2971,Hegde Nagar,1570.0,3.0,105.0,3
2972,Hegde Nagar,1801.0,3.0,140.0,3
2975,Hegde Nagar,1200.0,2.0,75.0,2
2976,Hegde Nagar,1847.0,3.0,135.0,3
2977,Hegde Nagar,1965.0,4.0,132.0,3
2978,Hegde Nagar,1703.0,3.0,125.0,3
2979,Hegde Nagar,1847.0,3.0,125.0,3
2980,Hegde Nagar,2144.6,4.0,145.0,3
2981,Hegde Nagar,1718.0,3.0,119.0,3
2983,Hegde Nagar,1340.0,2.0,72.0,2
2985,Hegde Nagar,1703.0,3.0,130.0,3
2987,Hegde Nagar,1718.0,3.0,130.0,3
2993,Hegde Nagar,2087.01,4.0,160.0,3
2994,Hegde Nagar,1000.0,2.0,66.0,2
2996,Hennur,1075.0,2.0,52.0,2
2998,Hennur,1225.0,2.0,57.0,2
2999,Hennur,1255.0,2.0,57.5,2
3000,Hennur,1259.0,2.0,57.0,2
3002,Hennur,1285.0,2.0,60.0,2
3003,Hennur,1285.0,2.0,60.0,2
3004,Hennur,1100.0,2.0,60.0,2
3006,Hennur,1255.0,2.0,58.0,2
3014,Hennur,2500.0,5.0,125.0,5
3016,Hennur,2400.0,3.0,135.0,3
3020,Hennur,1255.0,2.0,57.5,2
3021,Hennur,960.0,2.0,48.0,2
3022,Hennur,1020.0,2.0,48.0,2
3024,Hennur,1295.0,2.0,64.0,2
3025,Hennur,1935.0,3.0,102.0,3
3027,Hennur,1345.0,2.0,69.0,3
3028,Hennur,1255.0,2.0,58.0,2
3030,Hennur,1155.0,2.0,54.5,2
3033,Hennur,3517.0,2.0,161.5,4
3036,Hennur,1830.0,2.0,113.0,3
3040,Hennur,1255.0,2.0,56.5,2
3042,Hennur,1295.0,2.0,62.0,2
3043,Hennur Road,2089.0,3.0,140.0,3
3044,Hennur Road,3203.5,2.0,224.5,4
3045,Hennur Road,5000.0,8.0,250.0,8
3046,Hennur Road,1385.0,2.0,83.09,2
3049,Hennur Road,2264.0,3.0,159.0,3
3050,Hennur Road,1157.0,2.0,84.0,2
3051,Hennur Road,1904.0,3.0,120.0,3
3053,Hennur Road,1561.0,3.0,95.0,3
3055,Hennur Road,2060.0,3.0,149.0,3
3056,Hennur Road,1482.0,2.0,92.0,3
3057,Hennur Road,1232.0,2.0,89.0,2
3061,Hennur Road,1891.0,3.0,139.0,3
3066,Hennur Road,2160.0,3.0,160.0,3
3070,Hennur Road,1385.0,2.0,83.09,2
3072,Hennur Road,2350.0,3.0,174.0,3
3074,Hennur Road,1975.0,3.0,123.0,3
3076,Hennur Road,1290.0,2.0,94.5,3
3079,Hennur Road,1482.0,2.0,97.0,3
3080,Hennur Road,1182.0,2.0,82.5,2
3082,Hennur Road,1036.0,2.0,59.46,2
3086,Hennur Road,2320.0,3.0,170.0,3
3087,Hennur Road,1936.0,3.0,118.0,3
3090,Hennur Road,1445.0,2.0,105.0,3
3091,Hennur Road,1036.0,2.0,59.45,2
3092,Hennur Road,1832.0,3.0,125.0,3
3093,Hennur Road,1359.0,2.0,104.0,2
3097,Hennur Road,1414.0,2.0,84.18,2
3098,Hennur Road,1949.0,3.0,133.0,3
3099,Hennur Road,1232.0,2.0,89.0,2
3100,Hennur Road,1250.0,2.0,77.88,3
3101,Hennur Road,2502.0,4.0,180.0,4
3103,Hennur Road,1232.0,2.0,87.0,2
3104,Hennur Road,1232.0,2.0,74.0,2
3106,Hennur Road,1341.0,2.0,95.0,2
3108,Hennur Road,1232.0,2.0,88.0,2
3109,Hennur Road,2365.0,4.0,175.0,3
3114,Hennur Road,2264.0,3.0,168.0,3
3117,Hennur Road,1195.0,2.0,73.0,2
3119,Hennur Road,5100.0,6.0,375.0,5
3123,Hennur Road,2041.0,3.0,128.0,3
3124,Hennur Road,1232.0,2.0,87.0,2
3126,Hennur Road,973.0,2.0,56.0,2
3127,Hennur Road,1255.0,2.0,84.0,2
3128,Hennur Road,1232.0,2.0,83.0,2
3129,Hennur Road,1832.0,3.0,116.0,3
3136,Hennur Road,1480.0,3.0,100.0,3
3137,Hennur Road,1450.0,3.0,88.6,3
3138,Hennur Road,1155.0,2.0,69.18,2
3141,Hennur Road,1904.0,3.0,129.0,3
3142,Hennur Road,1981.0,3.0,134.0,3
3143,Hennur Road,1155.0,2.0,69.18,2
3144,Hennur Road,2000.0,4.0,90.0,4
3145,Hennur Road,1590.0,3.0,105.0,3
3146,Hennur Road,2041.0,3.0,138.0,3
3147,Hennur Road,1100.0,2.0,78.0,3
3148,Hennur Road,1880.0,4.0,154.0,4
3153,Hennur Road,1933.0,3.0,140.0,3
3157,Hennur Road,1445.0,2.0,89.56,3
3162,Hennur Road,1165.0,2.0,67.0,2
3164,Hennur Road,1232.0,2.0,80.0,2
3166,Hennur Road,950.0,2.0,55.0,2
3173,Hennur Road,1155.0,2.0,69.18,2
3174,Hennur Road,1936.0,3.0,131.0,3
3175,Hoodi,985.0,2.0,67.0,2
3177,Hoodi,2118.0,4.0,111.0,4
3178,Hoodi,1425.0,2.0,80.0,2
3180,Hoodi,1639.0,3.0,110.0,3
3181,Hoodi,1606.0,3.0,89.55,3
3182,Hoodi,1639.0,3.0,98.32,3
3183,Hoodi,2090.0,4.0,95.1,4
3184,Hoodi,2863.0,4.0,140.0,4
